"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
"1002" 11.4019939 12.76 56 3 1 1 0.038792171 37.979116 -121.302344
"1003" 12.47609978 30.5 20 5 0 1 0.010836038 38.011472 -121.367624
"1004" 11.35040654 13 31 3 0 1 0.04368643 38.027216 -121.315288
"1005" 11.57119437 15.01 21 3 1 1 0.038884594 38.031648 -121.322096
"1006" 11.35034771 9.27 50 2 0 1 0.01350469 37.959256 -121.321872
"1007" 12.07710226 19.71 5 4 0 1 0.033046239 38.046824 -121.334072
"1008" 11.40756495 11.34 16 3 1 1 0.058083729 38.033268 -121.302184
"1009" 11.00209984 8.86 53 2 1 0 0.067633394 37.977972 -121.27108
"1010" 11.91839057 13.82 38 3 0 1 0.031475941 38.015516 -121.32392
"1011" 11.87059991 22.26 20 4 1 0 0.013627806 38.035332 -121.350488
"1012" 11.68687877 14.57 22 3 0 1 0.007916878 38.016212 -121.349368
"1013" 11.41751528 13.01 20 4 1 1 0.074200479 38.0253 -121.281944
"1014" 11.28978191 11.25 60 2 0 1 0.046083709 37.980944 -121.29524
"1015" 11.22524339 9.6 20 3 0 0 0.075139679 38.032424 -121.283632
"1016" 11.79810441 17.7 22 3 1 0 0.004948609 38.016516 -121.352656
"1017" 11.70313252 15.45 24 3 0 1 0.009938533 38.027732 -121.35156
"1018" 11.70766954 10.54 78 2 0 1 0.034648644 37.969744 -121.303232
"1019" 11.65225253 12 40 3 0 1 0.044840237 38.001328 -121.304272
"1020" 11.62625415 13.74 14 3 0 1 0.020729532 38.029552 -121.340712
"1021" 11.42954386 11.13 39 3 0 1 0.053071251 38.007952 -121.297976
"1022" 11.73566894 16.88 18 3 0 1 0.01242358 38.035736 -121.351928
"1023" 11.77143616 18.11 46 4 0 1 0.018468956 38.002092 -121.332752
"1024" 11.82041016 15.33 5 4 0 0 0.052543921 38.031484 -121.307432
"1025" 11.66992921 18.78 53 3 0 1 0.019536479 37.966052 -121.317992
"1026" 11.46163217 11.34 16 3 0 1 0.05708842 38.033268 -121.303248
"1027" 12.08953883 18.27 65 2 0 0 0.021769363 37.964832 -121.315144
"1028" 11.91839057 22.26 21 4 0 0 0.033634644 38.0411 -121.33128
"1029" 11.81265962 15.91 34 3 0 1 0.001565953 38.002744 -121.354416
"1030" 11.3736634 13 47 3 0 1 0.008201769 37.96532 -121.347368
"1031" 12.29728353 25.1 21 5 0 1 0.009936602 37.988476 -121.336728
"1032" 11.97665948 25.47 3 5 0 1 0.052433117 38.031848 -121.307688
"1033" 11.87059991 18.06 9 3 0 1 0.008663506 38.032064 -121.35456
"1034" 11.44035477 11.36 18 4 1 1 0.074143197 38.032336 -121.284664
"1035" 11.55214618 12.22 13 3 0 0 0.002784802 38.031396 -121.360592
"1036" 11.08198869 8.7 50 2 1 1 0.004713033 37.973868 -121.336792
"1037" 11.54248427 14.33 20 3 0 1 0.026854124 38.041628 -121.338728
"1038" 11.56171563 10.2 52 2 0 1 0.023828538 37.968752 -121.314424
"1039" 11.2835123 9.77 52 2 1 1 0.049479849 37.988244 -121.294368
"1040" 12.10043431 20.86 9 3 0 0 0.000145498 38.034856 -121.365032
"1041" 11.33857208 11.36 20 4 1 1 0.078774257 38.035868 -121.281048
"1042" 11.91805718 20.72 24 5 1 0 0.001604302 38.01212 -121.358
"1043" 11.98292909 21.75 9 4 0 0 0.010381716 38.031124 -121.352368
