"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
"1156" 11.65268741 11.18 42 3 0 0 0.027138084 37.966132 -121.309896
"1157" 11.8493977 15.52 20 3 0 1 0.022070359 38.037664 -121.342344
"1158" 11.40700924 13.3 25 3 0 1 0.003461699 38.007924 -121.3584
"1159" 12.04941884 22.09 12 4 0 0 0.009387373 38.0386 -121.356256
"1160" 11.32055357 9.92 44 3 1 1 0.051275171 37.98676 -121.291888
"1161" 11.75978554 16.74 12 3 0 1 0.005880808 38.036492 -121.359208
"1162" 11.83500896 16.45 9 4 0 1 0.075256311 38.025196 -121.280776
"1163" 11.47210347 13.9 30 3 1 1 0.047696909 38.0313 -121.312544
"1164" 12.01370075 19 9 4 0 0 0.064541733 38.01216 -121.287304
"1165" 11.91170158 21.15 23 4 1 0 0.006125281 38.012308 -121.349808
"1166" 12.10071213 18.03 44 2 0 1 0.027556161 38.01298 -121.327152
"1167" 12.5776362 28 17 3 0 1 0.005044653 37.995744 -121.344704
"1168" 11.14547842 10.14 52 2 0 1 0.065435825 37.974592 -121.272152
"1169" 11.81303006 11.58 59 2 1 1 0.040942667 37.976308 -121.298984
"1170" 11.56171563 11.5 38 3 0 1 0.051414633 38.006928 -121.29936
"1171" 11.66821835 14 33 4 0 1 0.052329417 38.004816 -121.297584
"1172" 11.86639528 18.67 12 4 1 1 0.010602497 38.04172 -121.356136
"1173" 11.84222921 16.63 23 4 0 0 0.005884946 38.01112 -121.349616
"1174" 11.71177632 14.27 12 3 1 1 0.009086515 38.03578 -121.355512
"1175" 11.47729829 14.11 74 3 1 1 0.024908994 38.00348 -121.326392
"1176" 11.47210347 11.75 31 3 0 1 0.04125894 38.032416 -121.319848
"1177" 11.81303006 19.04 23 4 1 1 0.038670538 38.033096 -121.322872
"1178" 11.8493977 17.69 91 3 0 0 0.035343853 37.970504 -121.302776
"1179" 11.7829526 16.94 9 3 0 0 0.062114761 38.008872 -121.288656
"1180" 11.28978191 13.28 20 2 1 0 0.059516599 38.024852 -121.297472
"1181" 11.96718074 18.72 10 4 0 1 0.014891039 38.032872 -121.348208
"1182" 11.84581988 19.84 19 4 0 1 0.012570009 38.034012 -121.35112
"1183" 11.40700924 13.93 32 2 0 0 0.05035656 38.014012 -121.303168
"1184" 11.48246626 12.24 52 2 0 0 0.050348352 37.989092 -121.29376
"1185" 11.26446411 8.04 52 2 1 0 0.049515129 37.987624 -121.294096
"1186" 11.35040654 11.16 78 2 1 0 0.023461432 37.9653 -121.313512
"1187" 11.79810441 15.73 9 4 0 1 0.064814451 38.014604 -121.287936
"1188" 11.33618829 13.19 17 3 1 1 0.072509272 38.028624 -121.285008
"1189" 11.2515607 9 73 3 1 0 0.044637217 37.976492 -121.295104
"1190" 11.39582969 10.72 15 3 0 1 0.058546086 38.034576 -121.302184
"1191" 11.89067673 19 78 4 1 0 0.037445102 37.966604 -121.299056
"1192" 11.36789969 11.98 43 3 0 1 0.048915826 38.009788 -121.303112
"1193" 11.8493977 15.27 23 3 0 0 0.032555603 38.028944 -121.32784
"1194" 12.14153412 26.01 54 5 1 0 0.03375745 37.978528 -121.307504
"1195" 11.49272276 10.81 54 2 1 1 0.040091373 37.978028 -121.300544
"1196" 12.20607265 23.88 25 4 0 1 0.003939678 38.010192 -121.359768
"1197" 11.79735224 12.92 17 3 0 0 0.000697485 37.987608 -121.347768
"1198" 11.68687877 12.92 74 2 0 1 0.025495502 37.965804 -121.311528
"1199" 11.59910316 14.13 33 3 0 0 0.045430298 38.025036 -121.3126
"1200" 11.64395373 11.99 57 3 0 0 0.041622909 37.977068 -121.298544
"1201" 11.4019939 11.58 20 3 0 0 0.073847271 38.026312 -121.282704
"1202" 12.21849517 19.49 43 3 0 1 0.012059405 38.004728 -121.3406
"1203" 11.52188521 13.01 22 4 0 1 0.068523278 38.02408 -121.287552
